2017-07-02 03:21:52,521 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-02 03:21:52,525 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-02 03:21:52,539 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-02 03:22:01,176 [Worker-2] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\nitin\TestNG\mavenTestNG
2017-07-02 03:22:01,176 [Worker-2] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B test
2017-07-02 03:33:02,297 [Worker-13] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\nitin\TestNG\mavenTestNG
2017-07-02 03:33:02,298 [Worker-13] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B test
2017-07-02 03:57:49,643 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-02 03:57:49,986 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\nitin\TestNG\TestNGDemo\src\main\resources
2017-07-02 03:57:50,002 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-02 03:57:50,002 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\nitin\TestNG\TestNGDemo\src\test\resources
2017-07-02 03:57:50,189 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-02 03:57:50,205 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-02 03:57:50,220 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-02 03:57:50,236 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
